run_num	trial_num	frequency	stim_interval	trial_duration	response_duration	display_trial_feedback	start_time	end_time	n_deviants	deviant_times	deviant_type	deviant_positions	real_start_time	start_ttl	start_ttl_time	response	correct	rt	hand	key_yes	key_no
1	0	1	1.0	13	2	True	0	15	0				8.000889750081114	0	8.00026700005401	2.0	1	1.073350666672923			
1	1	1	1.0	13	2	True	15	30	3	19.2;23.8;26.2	late;early;late	5;10;12	23.00065095827449	0	23.000035500037484	1.0	1	0.6158815834205598			
1	0	1	1.0	13	2	True	0	15	3	4.2;7.8;11.2	late;early;late	5;9;12	8.000821708352305	0	8.000227666692808	0.0	0				
1	1	1	1.0	13	2	True	15	30	0				23.000565041671507	0	23.00001575006172	1.0	0	1.376994916587137			
1	0	1	1.0	13	2	True	0	15	2	5.2;10.8	late;early	6;12	78.00086929183453	0	78.0002582083689	2.0	0	1.9325847500003872			
1	1	1	1.0	13	2	True	15	30	0				93.00057495839428	0	93.00001595844516	1.0	0	0.6153807500377297			
1	0	1	1.0	13	2	True	0	15	0				8.000943541759625	0	8.000289041781798	0.0	0				
1	1	1	1.0	13	2	True	15	30	1	25.8	early	12.0	23.000657708384097	0	23.000059499870986	0.0	0				
1	0	1	1.0	13	2	True	0	15	0				393.0008693332784	0	393.00027487496845	3.0	1	0.6681539586279541			
1	1	1	1.0	13	2	True	15	30	3	19.2;21.2;25.8	late;late;early	5;7;12	408.0007572916802	0	408.00002983328886	4.0	1	0.9474224164150656			
1	0	1	1.0	13	2	True	0	15	1	8.2	late	9.0	8.004641291452572	0	8.002387791406363	0.0	0				
1	1	1	1.0	13	2	True	15	30	0				23.000837999861687	0	23.00014574988745	0.0	0				
1	0	1	1.0	13	2	True	0	15	0				43.00101316673681	0	43.000383416656405	3.0	0	1.3409947087056937			
1	1	1	1.0	13	2	True	15	30	2	25.2;26.2	late;late	11;12	58.000641708495095	0	58.00004966673441	2.0	0	1.87874854169786			
13	0	1	1.0	13	2	True	0	15	2	3.8;10.2	early;late	5;11	78.00083012506366	0	78.00023550004698	2.0	0	1.2557304583024234	right	1.0	2.0
13	1	1	1.0	13	2	True	15	30	0				93.00064262514934	0	93.0000320833642	2.0	1	1.5378216248936951	right	1.0	2.0
14	0	1	1.0	13	2	True	0	15	0				393.0011335832533	0	393.0004495834	3.0	1	1.4325133331585675	left	4.0	3.0
14	1	1	1.0	13	2	True	15	30	2	24.2;24.8	late;early	10;11	408.0006566666998	0	408.0000537917949	4.0	1	0.4334731251001358	left	4.0	3.0
4	0	1	1.0	13	2	True	0	15	3	3.8;7.2;10.8	early;late;early	5;8;12	78.00084124994464	0	78.00024225004017	4.0	1	1.668057250091806	left	4.0	3.0
4	1	1	1.0	13	2	True	15	30	0				93.00086570857091	0	93.00002720858902	3.0	1	0.8482413333840668	left	4.0	3.0
1	0	1	1.0	13	2	True	0	15	0				43.0008348750016	81	0.4782392499982961	3.0	1	0.7765090000029886	left	4.0	3.0
1	1	1	1.0	13	2	True	15	30	1	23.8	early	10.0	58.00065516666291	113	0.146558416665357	4.0	1	1.3453472500041244	left	4.0	3.0
1	0	1	1.0	13	2	True	0	15	0				43.00086716665828	1	43.00025133333111	0.0	0		left	4.0	3.0
1	1	1	1.0	13	2	True	15	30	1	23.8	early	10.0	58.00060479166132	1	58.00006437499542	0.0	0		left	4.0	3.0
1	0	1	1.0	13	2	True	0	15	0				43.000833874997625	1	43.00024608332751	0.0	0		left	4.0	3.0
1	1	1	1.0	13	2	True	15	30	1	23.8	early	10.0	58.00057295832812	1	58.00005475000216	0.0	0		left	4.0	3.0
1	0	1	1.0	13	2	True	0	15	0				43.00085191666585	61	0.7897406250049244	0.0	0		left	4.0	3.0
1	1	1	1.0	13	2	True	15	30	1	23.8	early	10.0	58.000671624999086	79	0.1218347499961964	0.0	0		left	4.0	3.0
1	0	1	1.0	13	2	True	0	15	0				43.00079895833187	17	0.7137045833369484	3.0	1	0.754134625000006	left	4.0	3.0
1	1	1	1.0	13	2	True	15	30	1	23.8	early	10.0	58.00068354166433	32	0.6333510000040405	4.0	1	0.7884235416640877	left	4.0	3.0
2	0	1	1.0	13	2	True	0	15	0				323.00078633332305	274	59.32928829166485	0.0	0		left	4.0	3.0
2	1	1	1.0	13	2	True	15	30	1	23.8	early	10.0	338.0005530833296	274	74.32910320832889	0.0	0		left	4.0	3.0
1	0	1	1.0	13	2	True	0	15	0				113.0008124166634	151	0.2512435416720109	0.0	0		right	1.0	2.0
1	1	1	1.0	13	2	True	15	30	2	23.2;24.8	late;early	9;11	128.00070104165934	171	0.6187764999995125	2.0	0	1.146410333327367	right	1.0	2.0
1	0	1	1.0	13	2	True	0	15	0				43.00085708332335	64	0.5552200000020093	2.0	1	1.1245046250041923	right	1.0	2.0
1	1	1	1.0	13	2	True	15	30	2	23.2;24.8	late;early	9;11	58.000781624999945	86	0.3870412500036764	1.0	1	1.7062513749988284	right	1.0	2.0
1	0	1	1.0	13	2	True	0	15	0				358.0008299583351	467	0.4417235000000801	0.0	0		right	1.0	2.0
1	1	1	1.0	13	2	True	15	30	1	19.8	early	6.0	373.0007620000033	491	0.0657007916670409	2.0	0	1.759155458334135	right	1.0	2.0
1	0	1	1.0	13	2	True	0	15	3	6.8;8.8;11.2	early;early;late	8;10;12	78.00084320833412	89	0.177264500001911	4.0	1	0.756173249996209	left	4.0	3.0
1	1	1	1.0	13	2	True	15	30	0				93.00080287500168	105	0.5432597499966505	3.0	1	1.4027551666586078	left	4.0	3.0
1	0	1	1.0	13	2	True	0	15	2	4.2;10.2	late;late	5;11	358.00083458332665	833	0.2523427916748915	3.0	0	1.504585374997987	left	4.0	3.0
1	1	1	1.0	13	2	True	15	30	0				373.00078020832734	874	0.2305868749972432	4.0	0	1.0802660416738945	left	4.0	3.0
2	0	1	1.0	13	2	True	0	15	3	6.8;8.8;11.2	early;early;late	8;10;12	183.00083245833957	307	0.4627351666713366	3.0	0	1.131986041662458	left	4.0	3.0
2	1	1	1.0	13	2	True	15	30	0				198.00072683333565	331	0.5226995416596765	4.0	0	0.8135183333361056	left	4.0	3.0
1	0	1	1.0	13	2	True	0	15	2	4.2;10.2	late;late	5;11	253.00083129166887	514	0.0386987916645011	4.0	1	1.097715291667555	left	4.0	3.0
1	1	1	1.0	13	2	True	15	30	0				268.00073758333747	547	0.4509631666660425	3.0	1	1.3089795416744892	left	4.0	3.0
1	0	1	1.0	13	2	True	0	15	3	3.8;7.8;11.2	early;early;late	5;9;12	218.0007924583333	571	0.0830569166646455	2.0	0	1.4572576666687382	right	1.0	2.0
1	1	1	1.0	13	2	True	15	30	0				233.00073566666833	604	0.1774169166747015	1.0	0	0.8718893333352753	right	1.0	2.0
2	0	1	1.0	13	2	True	0	15	0				8.00082937499974	17	0.4358444166646222	2.0	1	1.023149791668402	right	1.0	2.0
2	1	1	1.0	13	2	True	15	30	1	17.8	early	4.0	23.00075508333248	48	0.4387272916719666	1.0	1	1.0580104583277716	right	1.0	2.0
3	0	1	1.0	13	2	True	0	15	1	10.8	early	12.0	218.0008074166617	358	0.0818075833230977	0.0	0		right	1.0	2.0
3	1	1	1.0	13	2	True	15	30	0				233.00067216666503	379	0.5509693749991129	2.0	1	1.113667625002563	right	1.0	2.0
4	0	1	1.0	13	2	True	0	15	3	3.8;7.8;11.2	early;early;late	5;9;12	288.00079441667185	650	0.3173224999991362	2.0	0	1.303756291672471	right	1.0	2.0
4	1	1	1.0	13	2	True	15	30	0				303.00072158333205	687	0.1644082083366811	1.0	0	0.7288540416702745	right	1.0	2.0
1	0	1	1.0	13	2	True	0	15	0				148.00081383332872	270	0.0414508333269623	2.0	1	1.0226049999982934	right	1.0	2.0
1	1	1	1.0	13	2	True	15	30	1	17.8	early	4.0	163.00075445832772	315	0.1713029166639899	2.0	0	0.9301254583333504	right	1.0	2.0
2	0	1	1.0	13	2	True	0	15	1	10.8	early	12.0	393.0008236249996	769	0.808878875002847	2.0	0	1.1954485000023851	right	1.0	2.0
2	1	1	1.0	13	2	True	15	30	0				408.0007455833402	793	0.2929724583373172	2.0	1	1.6722122499995749	right	1.0	2.0
1	0	1	1.0	13	2	True	0	15	0				288.000811458347	711	0.1639079166634474	3.0	1	1.233415041671833	left	4.0	3.0
1	1	1	1.0	13	2	True	15	30	1	18.2	late	4.0	303.00073333334876	752	0.1328614166559418	3.0	0	1.3302037499961443	left	4.0	3.0
1	0	1	1.0	13	2	True	0	15	2	3.8;8.8	early;early	5;10	113.00091837500804	257	0.2192079999949783	4.0	1	1.1718293333251495	left	4.0	3.0
1	1	1	1.0	13	2	True	15	30	0				128.00081295832933	283	0.2192693750112084	3.0	1	0.7580441666650586	left	4.0	3.0
2	0	1	1.0	13	2	True	0	15	0				253.0008360833308	471	0.3803328749927459	3.0	1	1.3472314999962691	left	4.0	3.0
2	1	1	1.0	13	2	True	15	30	2	17.8;22.8	early;early	4;9	268.0007347083301	496	0.3525544166768668	0.0	0		left	4.0	3.0
1	0	1	1.0	13	2	True	0	15	0				78.00083558334154	194	0.1630992499995045	4.0	0	1.4430858333362266	left	4.0	3.0
1	1	1	1.0	13	2	True	15	30	3	18.8;20.8;25.2	early;early;late	5;7;11	93.00076241666102	234	0.2900370833231136	4.0	1	1.222865666670259	left	4.0	3.0
2	0	1	1.0	13	2	True	0	15	0				148.0008518333343	361	0.2378737916733371	0.0	0		left	4.0	3.0
2	1	1	1.0	13	2	True	15	30	3	21.2;22.2;24.2	late;late;late	7;8;10	163.00071179165388	389	0.3499507083470234	4.0	1	0.7299760000023525	left	4.0	3.0
1	0	1	1.0	13	2	True	0	15	1	3.2	late	4.0	78.00084862498625	187	0.0323260833392851	3.0	0	1.364504291646881	left	4.0	3.0
1	1	1	1.0	13	2	True	15	30	0				93.000719916643	227	0.0823623749893158	4.0	0	0.7000457083340734	left	4.0	3.0
2	0	1	1.0	13	2	True	0	15	2	3.2;3.8	late;early	4;5	148.0008322916692	383	0.1358850833348697	4.0	1	0.7063817500020377	left	4.0	3.0
2	1	1	1.0	13	2	True	15	30	0				163.00074637499347	421	0.1932819166686386	4.0	0	-1.094901500007836	left	4.0	3.0
3	0	1	1.0	13	2	True	0	15	2	7.8;9.8	early;early	9;11	43.000832208330394	97	0.3762474583199946	4.0	1	0.7182985416729935	left	4.0	3.0
3	1	1	1.0	13	2	True	15	30	0				58.00074166666309	132	0.3513645416678628	3.0	1	0.8258246250043157	left	4.0	3.0
4	0	1	1.0	13	2	True	0	15	3	3.8;6.2;7.2	early;late;late	5;7;8	358.00084341665206	682	0.0452359166665701	0.0	0		left	4.0	3.0
4	1	1	1.0	13	2	True	15	30	0				373.0007556666533	705	0.0564061249897349	4.0	0	0.457119666665676	left	4.0	3.0
5	0	1	1.0	13	2	True	0	15	0				218.00083470833488	419	0.2956515833502635	4.0	0	1.2349567916680826	left	4.0	3.0
5	1	1	1.0	13	2	True	15	30	2	19.2;23.8	late;early	5;10	233.0007283333398	444	0.4128147083392832	4.0	1	1.090611749998061	left	4.0	3.0
6	0	1	1.0	13	2	True	0	15	0				323.00086066665244	566	0.23020895833906252	4.0	0	1.1599885416653706	left	4.0	3.0
6	1	1	1.0	13	2	True	15	30	1	24.8	early	11.0	338.00075245831977	588	0.2264758750097826	3.0	0	0.7433617500064429	left	4.0	3.0
